[ 2023-08-30 21:03:24,636 ] 13 root -  vectorization paths are created
[ 2023-08-30 21:03:24,672 ] 10 root - data ingest started!
[ 2023-08-30 21:03:24,672 ] 15 root - paths are created for data
[ 2023-08-30 21:03:24,733 ] 13 root -  vectorization paths are created
[ 2023-08-30 21:03:24,764 ] 10 root - data ingest started!
[ 2023-08-30 21:03:24,764 ] 15 root - paths are created for data
[ 2023-08-30 21:03:24,802 ] 186 werkzeug -  * Debugger is active!
[ 2023-08-30 21:03:24,805 ] 186 werkzeug -  * Debugger PIN: 859-219-915
[ 2023-08-30 21:03:24,895 ] 186 werkzeug - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
[ 2023-08-30 21:03:24,895 ] 186 werkzeug - [33mPress CTRL+C to quit[0m
[ 2023-08-30 21:03:24,897 ] 186 werkzeug -  * Restarting with stat
[ 2023-08-30 21:03:26,218 ] 13 root -  vectorization paths are created
[ 2023-08-30 21:03:26,252 ] 10 root - data ingest started!
[ 2023-08-30 21:03:26,252 ] 15 root - paths are created for data
[ 2023-08-30 21:03:26,374 ] 186 werkzeug -  * Debugger is active!
[ 2023-08-30 21:03:26,378 ] 186 werkzeug -  * Debugger PIN: 859-219-915
[ 2023-08-30 21:03:41,335 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 21:03:41] "GET / HTTP/1.1" 200 -
[ 2023-08-30 21:03:59,665 ] 20 root - data paths created !
[ 2023-08-30 21:03:59,665 ] 24 root - enter the data ingestion part 2
[ 2023-08-30 21:03:59,931 ] 26 root - data has read sucessfuly
[ 2023-08-30 21:03:59,935 ] 41 root - dataframe had created sucessfuly
[ 2023-08-30 21:03:59,936 ] 43 root - directory has created
[ 2023-08-30 21:04:00,612 ] 47 root - data ingest sucessfully
[ 2023-08-30 21:04:00,617 ] 19 root - entered data transformation
[ 2023-08-30 21:04:00,665 ] 21 root - data read sucessfully for transformation!
[ 2023-08-30 21:04:00,670 ] 23 root - dropped duplicates
[ 2023-08-30 21:04:00,683 ] 25 root - data transformed sucess
[ 2023-08-30 21:04:00,771 ] 28 root - vectorization is sucessfully created
[ 2023-08-30 21:04:00,772 ] 31 root - pickle file is created
[ 2023-08-30 21:04:01,040 ] 34 root - recommend process1 started
[ 2023-08-30 21:04:01,040 ] 35 root - pickle load!
[ 2023-08-30 21:04:01,041 ] 37 root - pickle loading process sucessful
[ 2023-08-30 21:04:01,083 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 21:04:01] "[35m[1mPOST / HTTP/1.1[0m" 500 -
[ 2023-08-30 21:04:01,354 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 21:04:01] "[36mGET /?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1[0m" 304 -
[ 2023-08-30 21:04:01,363 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 21:04:01] "[36mGET /?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1[0m" 304 -
[ 2023-08-30 21:04:01,424 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 21:04:01] "[36mGET /?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[ 2023-08-30 21:04:01,444 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 21:04:01] "[36mGET /?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[ 2023-08-30 21:04:21,017 ] 20 root - data paths created !
[ 2023-08-30 21:04:21,017 ] 24 root - enter the data ingestion part 2
[ 2023-08-30 21:04:21,287 ] 26 root - data has read sucessfuly
[ 2023-08-30 21:04:21,291 ] 41 root - dataframe had created sucessfuly
[ 2023-08-30 21:04:21,292 ] 43 root - directory has created
[ 2023-08-30 21:04:22,093 ] 47 root - data ingest sucessfully
[ 2023-08-30 21:04:22,101 ] 19 root - entered data transformation
[ 2023-08-30 21:04:22,163 ] 21 root - data read sucessfully for transformation!
[ 2023-08-30 21:04:22,172 ] 23 root - dropped duplicates
[ 2023-08-30 21:04:22,188 ] 25 root - data transformed sucess
